id,name,WD Lsv,WD Len,WD Dsv,WD Den,WD e-postadress,WD telefonnummer,WD organisationsnummer (Sverige),abbreviation,other_names,description,classification,parent_id,founding_date,dissolution_date,image,url,jurisdiction_code,phone,email,address,contact,tags,source_url
se/eksjo-tingsratt,Eksjö tingsrätt,Eksjö tingsrätt,Eksjö District Court,,,,,,,,,,,,,,www.eksjotingsratt.domstol.se,SE,,eksjo.tingsratt@dom.se,BOX 230,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/elsakerhetsverket,Elsäkerhetsverket,Elsäkerhetsverket,National Electrical Safety Board,svensk statlig förvaltningsmyndighet,Swedish administrative authority,mailto:registrator@elsakerhetsverket.se,+46-10-168-05-00,202100-4466,,,,,,,,,www.elsakerhetsverket.se,SE,0550-85101,registrator@elsakerhetsverket.se,BOX 4,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/emmaboda-kommun,Emmaboda kommun,Emmaboda kommun,Emmaboda Municipality,"kommun i Kalmar län, Sverige","municipality in Kalmar County, Sweden",,,212000-0738,,,Varuproducerande kommuner,7.0,,,,,http://www.emmaboda.se,SE,0471-24 90 00,kommunen@emmaboda.se,Box 54,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/energimarknadsinspektionen,Energimarknadsinspektionen,Energimarknadsinspektionen,Swedish Energy Markets Inspectorate,svensk statlig förvaltningsmyndighet,Swedish government agency,mailto:registrator@ei.se,+46-16-16-27-00,202100-5695,,,,,,,,,www.energimarknadsinspektionen.se,SE,,registrator@ei.se,BOX 155,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/enkopings-kommun,Enköpings kommun,Enköpings kommun,Enköping Municipality,"kommun i Uppsala län, Sverige","municipality in Uppsala County, Sweden",,,212000-0282,,,Kommuner i tätbefolkad region,9.0,,,,,http://www.enkoping.se,SE,0171-62 50 00,kommunen@enkoping.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/ersattningsnamnden,Ersättningsnämnden,,,,,,,,,,,,,,,,www.ersattningsnamnden.se/,SE,,,BOX 2089,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/eskilstuna-kommun,Eskilstuna kommun,Eskilstuna kommun,Eskilstuna Municipality,"kommun i Södermanlands län, Sverige","municipality in Södermanland County, Sweden",,,212000-0357,,,Större städer,3.0,,,,,http://eskilstuna.se/,SE,016 - 710 10 00,eskilstuna.kommun@eskilstuna.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/eskilstuna-tingsratt,Eskilstuna tingsrätt,Eskilstuna tingsrätt,Eskilstuna District Court,,,,,,,,,,,,,,www.domstol.se,SE,,eskilstuna.tingsratt@dom.se,BOX 363,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/eslovs-kommun,Eslövs kommun,Eslövs kommun,Eslöv Municipality,"kommun i Skåne län, Sverige","municipality in Skåne County, Sweden",mailto:kommunen@eslov.se,,212000-1173,,,Förortskommuner till större städer,4.0,,,,,http://www.eslov.se,SE,0413-62000,kommunstyrelsen@eslov.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/essunga-kommun,Essunga kommun,Essunga kommun,Essunga Municipality,"kommun i Västra Götalands län, Sverige","municipality in Västra Götaland County, Sweden",,,212000-2916,,,Pendlingskommuner,5.0,,,,,http://www.essunga.se,SE,0512-57000,kommun@essunga.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/exportkreditnamnden,Exportkreditnämnden,Exportkreditnämnden,Swedish Export Credits Guarantee Board,svensk statlig förvaltningsmyndighet,Swedish authority,mailto:info@ekn.se,+46-8-788-00-00,202100-2098,,,,,,,,,www.ekn.se,SE,08-4118149,info@ekn.se,BOX 3064,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/fagersta-kommun,Fagersta kommun,Fagersta kommun,Fagersta Municipality,"kommun i Västmanlands län, Sverige","municipality in Västmanland County, Sweden",,,212000-2106,,,Varuproducerande kommuner,7.0,,,,,http://www.fagersta.se,SE,0223-44000,info@fagersta.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/falkenbergs-kommun,Falkenbergs kommun,Falkenbergs kommun,Falkenberg Municipality,"kommun i Hallands län, Sverige","municipality in Halland County, Sweden",,,212000-1231,,,Kommuner i tätbefolkad region,9.0,,,,,http://www.falkenberg.se,SE,0346-886000,kommun@falkenberg.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/falkopings-kommun,Falköpings kommun,Falköpings kommun,Falköping Municipality,"kommun i Västra Götalands län, Sverige","municipality in Västra Götaland County, western Sweden",,,212000-1744,,,Kommuner i tätbefolkad region,9.0,,,,,http://www.falkoping.se,SE,0515-885000,kommunen@falkoping.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/falu-kommun,Falu kommun,Falu kommun,Falun Municipality,"kommun i Dalarnas län, Sverige","municipality in Dalarna County, Sweden",,,212000-2221,,,Större städer,3.0,,,,,http://www.falun.se,SE,023-83000,info@falun.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/falu-tingsratt,Falu tingsrätt,Falu tingsrätt,Falun District Court,,,,,,,,,,,,,,www.falutingsratt.domstol.se,SE,,falu.tingsratt@dom.se,BOX 102,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/fargelanda-kommun,Färgelanda kommun,Färgelanda kommun,Färgelanda Municipality,"kommun i Västra Götalands län, Sverige","municipality in Västra Götaland County, Sweden",,,,,,Pendlingskommuner,5.0,,,,,http://www.fargelanda.se,SE,0528-567000,kommun@fargelanda.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/fastighetsmaklarinspektionen,Fastighetsmäklarinspektionen,Fastighetsmäklarinspektionen,Swedish Estate Agents Inspectorate,svensk statlig förvaltningsmyndighet,government agency,mailto:registrator@fmi.se,+46-10-458-01-00,,,,,,,,,,www.fmi.se,SE,08-58006901,registrator@fmi.se,BOX 22034,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/fideikommissnamnden,Fideikommissnämnden,Fideikommissnämnden,Fideikommissnämnden,svensk statlig förvaltningsmyndighet,Swedish government agency based in Stockholm,mailto:registratur@kammarkollegiet.se,+46-8-700-08-00,,,,,,,,,,www.kammarkollegiet.se/rattsavdelningen/fideikommissnamnden/fideikommissnamnden,SE,,registratur@kammarkollegiet.se,BOX 2218,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/filipstads-kommun,Filipstads kommun,Filipstads kommun,Filipstad Municipality,"kommun i Värmlands län, Sverige","municipality in Värmland County, Sweden",,,,,,Varuproducerande kommuner,7.0,,,,,http://www.filipstad.se,SE,0590-61100,kommun@filipstad.se,Box 303,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/finansinspektionen,Finansinspektionen,Finansinspektionen,Financial Supervisory Authority,svensk statlig förvaltningsmyndighet,registration authority,mailto:finansinspektionen@fi.se,+46-8-408-980-00,,,,,,,,,,www.fi.se,SE,08-241335,finansinspektionen@fi.se,BOX 7821,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/finanspolitiska-radet,Finanspolitiska rådet,Finanspolitiska rådet,Swedish Fiscal Policy Council,svensk statlig förvaltningsmyndighet,Swedish government agency,mailto:info@fpr.se,+46-8-453-59-90,,,,,,,,,,www.finanspolitiskaradet.se,SE,,info@finanspolitiskaradet.se,BOX 3273,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/finspangs-kommun,Finspångs kommun,Finspångs kommun,Finspång Municipality,"kommun i Östergötlands län, Sverige","municipality in Östergötland County, Sweden",,,,,,Varuproducerande kommuner,7.0,,,,,http://www.finspang.se,SE,0122-85000,kommun@finspang.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/fjarde-ap-fonden,Fjärde AP-fonden,Fjärde AP-fonden,,,,,,,,,,,,,,,www.ap4.se,SE,08-7879625,info@ap4.se,BOX 3069,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/flens-kommun,Flens kommun,Flens kommun,Flen Municipality,"kommun i Södermanlands län, Sverige","municipality in Södermanland County, Sweden",,,,,,Kommuner i tätbefolkad region,9.0,,,,,http://www.flen.se,SE,0157-43 00 00,flenskommun@flen.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/folke-bernadotteakademin,Folke Bernadotteakademin,Folke Bernadotteakademin,Folke Bernadotte Academy,svensk statlig myndighet,Swedish government agency,mailto:info@fba.se,+46-10-456-23-00,202100-5380,,,,,,,,,www.fba.se,SE,0612-82399,info@fba.se,SANDÖVÄGEN 1,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/folkhalsomyndigheten,Folkhälsomyndigheten,Folkhälsomyndigheten,Public Health Agency of Sweden,statlig myndighet i Sverige,government agency of Sweden,mailto:info@folkhalsomyndigheten.se,+46-10-205-20-00,202100-6545,,,,,,,,,http://folkhalsomyndigheten.se,SE,08-328330,info@folkhalsomyndigheten.se,,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/forsakringskassan,Försäkringskassan,Försäkringskassan,Swedish Social Insurance Agency,svensk statlig myndighet som ansvarar för stora delar av de offentliga trygghetssystemen,government agency in Sweden that administers social insurance,mailto:huvudkontoret@forsakringskassan.se,+46-8-786-90-00,202100-5521,,,,,,,,,www.forsakringskassan.se,SE,08-4112789,fk-hk.stockholm@fk01.sfa.se,,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/forshaga-kommun,Forshaga kommun,Forshaga kommun,Forshaga Municipality,"kommun i Värmlands län, Sverige","municipality in Värmland County, Sweden",,,212000-1819,,,Förortskommuner till större städer,4.0,,,,,http://www.forshaga.se,SE,054-172000,kommun@forshaga.se,Box 93,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/forskarskattenamnden,Forskarskattenämnden,Forskarskattenämnden,,svensk statlig förvaltningsmyndighet,Swedish government agency,mailto:kansliet@forskarskattenamnden.se,+46-10-574-79-57,202100-5893,,,,,,,,,www.forskarskattenamnden.se,SE,08-210619,kansliet@skatterattsnamnden.se,BOX 24144,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/forskningsradet-f-miljo-arella-naringar-och-samh,Forskningsrådet F Miljö Arella Näringar Och Samh,,,,,,,,,,,,,,,,www.formas.se,SE,08-7754010,info@formas.se,BOX 1206,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
"se/forskningsradet-for-halsa,-arbetsliv-och-valfard","Forskningsrådet för hälsa, arbetsliv och välfärd","Forskningsrådet för hälsa, arbetsliv och välfärd",Swedish Research Council for Health Working Life and Welfare,svensk statlig förvaltningsmyndighet,"government organization in Stockholm, Sweden",mailto:forte@forte.se,+46-8-775-40-70,202100-5240,,,,,,,,,www.fas.se,SE,08-7754075,fas@fas.se,BOX 894,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/forsta-ap-fonden,Första AP-fonden,Första AP-fonden,,,,,,,,,,,,,,,www.ap1.se,SE,08-56620400,info@ap1.se,BOX 16294,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/forsvarets-materielverk,Försvarets materielverk,Försvarets materielverk,Defence Materiel Administration,svensk statlig förvaltningsmyndighet,Swedish administrative authority,mailto:registrator@fmv.se,+46-8-782-40-00,202100-0340,,,,,,,,,www.fmv.se,SE,08-6675799,registrator@fmv.se,,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/forsvarets-radioanstalt,Försvarets radioanstalt,Försvarets radioanstalt,National Defence Radio Establishment,svensk civil myndighet,Swedish signals intelligence agency,mailto:fra@fra.se,+46-8-471-46-00,202100-0365,,,,,,,,,www.fra.se,SE,08-4714853,fra@fra.se,BOX 301,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/forsvarsexportmyndigheten,Försvarsexportmyndigheten,Försvarsexportmyndigheten,,,,,,,,,,,,,,,www.fxm.se,SE,,,BOX 56081,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/forsvarshogskolan,Försvarshögskolan,Försvarshögskolan,Swedish Defence University,,"university college in Stockholm, Sweden",,,,,,,,,,,,www.fhs.se,SE,08-55342598,exp@fhs.se,BOX 27805,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/forsvarsmakten,Försvarsmakten,Försvarsmakten,Swedish Armed Forces,svensk statlig myndighet,combined military forces of Sweden,mailto:exp-hkv@mil.se,+46-8-788-75-00,202100-4615,,,,,,,,,www.forsvarsmakten.se/sv/,SE,08-7887778,exp-hkv@mil.se,,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/forsvarsunderrattelsedomstolen,Försvarsunderrättelsedomstolen,Försvarsunderrättelsedomstolen,Swedish Foreign Intelligence Court,,,,,,,,,,,,,,www.undom.se,SE,08-55504520,,BOX 1097,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/fortifikationsverket,Fortifikationsverket,Fortifikationsverket,National Fortifications Administration,svensk statlig förvaltningsmyndighet,Swedish administrative authority,mailto:fortv@fortifikationsverket.se,+46-10-444-40-00,202100-4607,,,,,,,,,www.fortv.se,SE,016-133702,fortv@fortv.se,,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/forum-for-levande-historia,Forum för levande historia,Forum för levande historia,Forum för levande historia,svensk statlig förvaltningsmyndighet,government agency,mailto:info@levandehistoria.se,+46-8-723-87-50,202100-5356,,,,,,,,,www.levandehistoria.se,SE,08-7238759,,BOX 2123,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/forvaltningsratten-i-falun,Förvaltningsrätten i Falun,Förvaltningsrätten i Falun,,,,,,,,,,,,,,,www.domstol.se,SE,023-3830080,forvaltningsrattenifalun@dom.se,BOX 45,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/forvaltningsratten-i-goteborg,Förvaltningsrätten i Göteborg,Förvaltningsrätten i Göteborg,,,,,,,,,,,,,,,www.lansrattenigoteborg.domstol.se,SE,,forvaltningsrattenigoteborg@dom.se,BOX 53197,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/forvaltningsratten-i-harnosand,Förvaltningsrätten i Härnösand,Förvaltningsrätten i Härnösand,,,,,,,,,,,,,,,www.lansrattenivasternorrland.domstol.se,SE,0611-349800,forvaltningsratteniharnosand@dom.se,BOX 314,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/forvaltningsratten-i-jonkoping,Förvaltningsrätten i Jönköping,Förvaltningsrätten i Jönköping,,,,,,,,,,,,,,,www.lansrattenijonkoping.domstol.se,SE,036-156655,forvaltningsrattenijonkoping@dom.se,BOX 2201,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/forvaltningsratten-i-karlstad,Förvaltningsrätten i Karlstad,Förvaltningsrätten i Karlstad,,,,,,,,,,,,,,,www.lansrattenivarmland.domstol.se,SE,054-148530,forvaltningsrattenikarlstad@dom.se,BOX 568,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/forvaltningsratten-i-linkoping,Förvaltningsrätten i Linköping,Förvaltningsrätten i Linköping,,,,,,,,,,,,,,,www.domstol.se,SE,013-251040,forvaltningsrattenilinkoping@dom.se,BOX 406,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/forvaltningsratten-i-lulea,Förvaltningsrätten i Luleå,Förvaltningsrätten i Luleå,,,,,,,,,,,,,,,www.lansratteninorrbotten.domstol.se,SE,0920-295498,forvaltningsrattenilulea@dom.se,BOX 849,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/forvaltningsratten-i-malmo-och-migrationsdomstol,Förvaltningsrätten I Malmö Och Migrationsdomstol,,,,,,,,,,,,,,,,www.lansratteniskane.domstol.se,SE,040-972490,forvaltningsrattenimalmo@dom.se,BOX 4522,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/forvaltningsratten-i-stockholm,Förvaltningsrätten i Stockholm,Förvaltningsrätten i Stockholm,,,,,,,,,,,,,,,www.lansrattenistockholm.domstol.se,SE,,forvaltningsrattenistockholm@dom.se,,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/forvaltningsratten-i-umea,Förvaltningsrätten i Umeå,Förvaltningsrätten i Umeå,,,,,,,,,,,,,,,www.domstol.se,SE,090-137588,forvaltningsratteniumea@dom.se,BOX 193,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/forvaltningsratten-i-uppsala,Förvaltningsrätten i Uppsala,Förvaltningsrätten i Uppsala,,,,,,,,,,,,,,,www.lansratteniuppsala.domstol.se,SE,018-167343,forvaltningsratteniuppsala@dom.se,BOX 1853,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/forvaltningsratten-i-vaxjo,Förvaltningsrätten i Växjö,Förvaltningsrätten i Växjö,,,,,,,,,,,,,,,www.domstol.se,SE,,forvaltningsrattenivaxjo@dom.se,BOX 42,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/gagnefs-kommun,Gagnefs kommun,Gagnefs kommun,Gagnef Municipality,"kommun i Dalarnas län, Sverige","municipality in Dalarna County, Sweden",,,212000-2155,,,Pendlingskommuner,5.0,,,,,http://www.gagnef.se,SE,0241-15100,registrator@gagnef.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/gallivare-kommun,Gällivare kommun,Gällivare kommun,Gällivare Municipality,"kommun i Norrbottens län, Sverige","municipality in Norrbotten County, Sweden",,,212000-2726,,,Varuproducerande kommuner,7.0,,,,,http://www.gellivare.se,SE,0970-18000,post@gallivare.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/gallivare-tingsratt,Gällivare tingsrätt,Gällivare tingsrätt,,,,,,,,,,,,,,,www.domstol.se,SE,,gallivare.tingsratt@dom.se,BOX 23,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/gavle-kommun,Gävle kommun,Gävle kommun,Gävle Municipality,"kommun i Gävleborgs län, Sverige","municipality in Gävleborg County, Sweden",,,212000-2338,,,Större städer,3.0,,,,,http://www.gavle.se,SE,026-17 80 00,gavle.kommun@gavle.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/gavle-tingsratt,Gävle tingsrätt,Gävle tingsrätt,Gävle District Court,,,,,,,,,,,,,,www.gavletingsratt.domstol.se,SE,,gavle.tingsratt@dom.se,BOX 1194,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/gentekniknamnden,Gentekniknämnden,Gentekniknämnden,Swedish Gene Technology Advisory Board,svensk statlig förvaltningsmyndighet,Swedish administrative authority,mailto:genteknik@genteknik.se,+46-8-508-846-30,202100-4813,,,,,,,,,www.genteknik.se,SE,08-50884633,genteknik@genteknik.se,FOGDEVRETEN 2 A,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/gih,Gymnastik- och idrottshögskolan,Gymnastik- och idrottshögskolan,Swedish School of Sport and Health Sciences,svensk statlig förvaltningsmyndighet,"university collage in Stockholm, Sweden",mailto:registrator@gih.se,+46-8-120-537-00,202100-4334,,,,,,,,,www.gih.se,SE,08-4022280,registrator@gih.se,BOX 5626,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/gislaveds-kommun,Gislaveds kommun,Gislaveds kommun,Gislaved Municipality,"kommun i Jönköpings län, Sverige","municipality in Jönköping County, Sweden",,,212000-0514,,,Varuproducerande kommuner,7.0,,,,,http://www.gislaved.se,SE,0371-81000,kommunen@gislaved.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/gnesta-kommun,Gnesta kommun,Gnesta kommun,Gnesta Municipality,"kommun i Södermanlands län, Sverige","municipality in Södermanland County, Sweden",,,212000-2965,,,Förortskommuner till större städer,4.0,,,,,http://www.gnesta.se,SE,0158-27 50 00,gnesta.kommun@gnesta.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/gnosjo-kommun,Gnosjö kommun,Gnosjö kommun,Gnosjö Municipality,"kommun i Jönköpings län, Sverige","municipality in Jönköping County, Sweden",,,212000-0506,,,Varuproducerande kommuner,7.0,,,,,http://www.gnosjo.se,SE,0370-331000,kommun@gnosjo.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
